,SD01_08,SD02,SD03,SD04,SD04_07,SD05,SD06_01,SD07_01,SD08,SD08_03,SD09,SD09_04,SD10,SD11,SD13,SD13_02,SD15
count,129.0,129.0,129.0,129.0,7,129.0,86.0,87.0,129.0,9,129.0,13,129.0,129.0,129.0,86.0,129.0
unique,,,,,7,,,,,9,,13,,,,,
top,,,,,Staatsexamen ,,,,,Instrument und gesang gleich viel,,"Kindergarten, Musikschule, Gymansium",,,,,
freq,,,,,1,,,,,1,,1,,,,,
mean,31.92248062015504,1.6589147286821706,1.7596899224806202,4.1395348837209305,,1.317829457364341,7.441860465116279,8.333333333333334,-2.0930232558139537,,-1.0,,3.7364341085271318,2.7829457364341086,2.2713178294573644,18.53488372093023,-6.511627906976744
std,12.997362955555623,0.814863140646634,0.4289375282028552,1.3961117100636125,,0.46744812753714665,2.5877751114344885,5.440303229123006,4.845168115738343,,5.619441698247256,,0.8433506447958165,1.4735227788687086,0.5116141426971619,13.430165935130647,4.44781596521991
min,17.0,1.0,1.0,1.0,,1.0,2.0,0.0,-9.0,,-9.0,,1.0,1.0,1.0,0.0,-9.0
25%,23.0,1.0,2.0,3.0,,1.0,6.0,4.5,-9.0,,-9.0,,4.0,1.0,2.0,8.5,-9.0
50%,26.0,2.0,2.0,4.0,,1.0,7.0,8.0,1.0,,3.0,,4.0,4.0,2.0,15.0,-9.0
75%,42.0,2.0,2.0,5.0,,2.0,9.0,11.0,1.0,,3.0,,4.0,4.0,3.0,24.25,-9.0
max,63.0,4.0,2.0,7.0,,2.0,15.0,35.0,3.0,,4.0,,4.0,4.0,3.0,55.0,2.0
